filename,phash
cat_000010.png,"0000000000808020,0d3a3264c6801000,39f8fcfcfcfcfef6,3060c28747659894"
cat_000011.png,"9698d878c8aea0f8,cfcfcf1b3b3333cd,66662c3811134301,c5c3cb5df98c8c9b,030702c48000303c,33721c8c8e891989,2032323204190803"
cat_000012.png,"ffffffcfcbc3d7d5,e9f2e4c9d998f060,4b171ed890cce470,1b3cb83c0c1ac0e0"
